app_id,app_name,size_bytes,currency,price,user_rating_total,user_rating_count,user_rating,user_rating_ver,version
284882215,Facebook,389879808,USD,0,2974676,212,3.5,3.5,95
389801252,Instagram,113954816,USD,0,2161558,1289,4.5,4,10.23
529479190,Clash of Clans,116476928,USD,0,2130805,579,4.5,4.5,9.24.12
420009108,Temple Run,65921024,USD,0,1724546,3842,4.5,4,1.6.2
284035177,Pandora - Music & Radio,130242560,USD,0,1126879,3594,4,4.5,8.4.1
429047995,Pinterest,74778624,USD,0,1061624,1814,4.5,4,6.26
282935706,Bible,92774400,USD,0,985920,5320,4.5,5,7.5.1
553834731,Candy Crush Saga,222846976,USD,0,961794,2453,4.5,4.5,1.101.0
324684580,Spotify Music,132510720,USD,0,878563,8253,4.5,4.5,8.4.3
343200656,Angry Birds,175966208,USD,0,824451,107,4.5,3,7.4.0
512939461,Subway Surfers,156038144,USD,0,706110,97,4.5,4,1.72.1
362949845,Fruit Ninja Classic,104590336,USD,1.99,698516,132,4.5,4,2.3.9
359917414,Solitaire,101943296,USD,0,679055,9673,4.5,4.5,4.11.2
469369175,CSR Racing,524803072,USD,0,677247,2029,4.5,4.5,4.0.1
924373886,Crossy Road - Endless Arcade Hopper,165471232,USD,0,669079,1087,4.5,4.5,1.5.4
